,Countries,Total Cases,Todays Cases,Total Deaths
90,Burkina Faso,64,,3
91,Tunisia,60,,1
92,Guadeloupe,56,,1
93,Senegal,56,,
94,Georgia,54,+5,
95,Kazakhstan,54,,
96,Azerbaijan,53,,1
97,Cambodia,53,,
98,Palestine,53,,
99,Oman,52,,
100,Trinidad and Tobago,49,,
101,Ukraine,47,,3
102,Réunion,47,,
103,Uzbekistan,42,+1,
104,Cameroon,40,,
105,Martinique,37,,1
106,Liechtenstein,37,,
107,Channel Islands,32,,
108,Honduras,26,+2,
109,Bangladesh,24,,2
110,Afghanistan,24,,
111,DRC,23,,1
112,Paraguay,22,,1
113,Nigeria,22,,
114,Cuba,21,,1
115,Ghana,21,,1
116,Puerto Rico,21,,1
117,Jamaica,19,,1
118,Macao,19,,
119,Bolivia,19,,
120,Guyana,18,,1
121,Monaco,18,,
122,French Guiana,18,,
123,Guatemala,17,,1
124,Rwanda,17,,
125,Montenegro,16,,
126,Togo,16,,
127,French Polynesia,15,,
128,Guam,15,,
129,Mauritius,14,,1
130,Barbados,14,,
131,Ivory Coast,14,,
132,Kyrgyzstan,14,,
133,Maldives,13,,
134,Mayotte,11,,
135,Gibraltar,10,,
136,Mongolia,10,,
137,Ethiopia,9,,
138,Aruba,8,+3,
139,Kenya,7,,
140,Seychelles,7,,
141,Equatorial Guinea,6,,
142,Tanzania,6,,
143,U.S. Virgin Islands,6,,
144,Gabon,5,,1
145,Saint Martin,5,,
146,Suriname,5,,
147,Bahamas,4,,
148,New Caledonia,4,,
149,Eswatini,4,+3,
150,Cayman Islands,3,,1
151,Curaçao,3,,1
152,Cabo Verde,3,,
153,CAR,3,,
154,Congo,3,,
155,El Salvador,3,,
156,Liberia,3,,
157,Madagascar,3,,
158,Namibia,3,,
159,St. Barth,3,,
160,Zimbabwe,3,,
161,Sudan,2,,1
162,Angola,2,,
163,Benin,2,,
164,Bermuda,2,,
165,Bhutan,2,,
166,Fiji,2,,
167,Greenland,2,,
168,Guinea,2,,
169,Haiti,2,,
170,Isle of Man,2,,
171,Mauritania,2,,
172,Nicaragua,2,,
173,Saint Lucia,2,,
174,Zambia,2,,
175,Nepal,1,,
176,Antigua and Barbuda,1,,
177,Chad,1,,
178,Djibouti,1,,
179,Eritrea,1,,
180,Gambia,1,,
181,Vatican City,1,,
182,Montserrat,1,,
183,Niger,1,,
184,Papua New Guinea,1,,
185,St. Vincent Grenadines,1,,
186,Sint Maarten,1,,
187,Somalia,1,,
188,Timor-Leste,1,,
189,Uganda,1,,
Coronavirus Update (Live): 308,547 Cases and 13,069 Deaths from COVID-19 Virus Outbreak - Worldometer


Coronavirus Cases:

308,547        



Deaths:

13,069



Recovered:

95,829



Analysis based on individual countries

                  Countries Total Cases Todays Cases Total Deaths
1                     China      81,054          +46        3,261
2                     Italy      53,578                     4,825
3                       USA      26,892       +2,685          348
4                     Spain      25,496                     1,381
5                   Germany      22,364                        84
..                      ...         ...          ...          ...
185  St. Vincent Grenadines           1                          
186            Sint Maarten           1                          
187                 Somalia           1                          
188             Timor-Leste           1                          
189                  Uganda           1                          

[189 rows x 4 columns]
Coronavirus Update (Live): 308,547 Cases and 13,069 Deaths from COVID-19 Virus Outbreak - Worldometer


Coronavirus Cases:

308,547        



Deaths:

13,069



Recovered:

95,829



Analysis based on individual countries

                  Countries Total Cases Todays Cases Total Deaths
1                     China      81,054          +46        3,261
2                     Italy      53,578                     4,825
3                       USA      26,892       +2,685          348
4                     Spain      25,496                     1,381
5                   Germany      22,364                        84
..                      ...         ...          ...          ...
185  St. Vincent Grenadines           1                          
186            Sint Maarten           1                          
187                 Somalia           1                          
188             Timor-Leste           1                          
189                  Uganda           1                          

[189 rows x 4 columns]
Coronavirus Update (Live): 308,547 Cases and 13,069 Deaths from COVID-19 Virus Outbreak - Worldometer


Coronavirus Cases:

308,547        



Deaths:

13,069



Recovered:

95,829



Analysis based on individual countries

                  Countries Total Cases Todays Cases Total Deaths
1                     China      81,054          +46        3,261
2                     Italy      53,578                     4,825
3                       USA      26,892       +2,685          348
4                     Spain      25,496                     1,381
5                   Germany      22,364                        84
..                      ...         ...          ...          ...
185  St. Vincent Grenadines           1                          
186            Sint Maarten           1                          
187                 Somalia           1                          
188             Timor-Leste           1                          
189                  Uganda           1                          

[189 rows x 4 columns]
Coronavirus Update (Live): 308,547 Cases and 13,069 Deaths from COVID-19 Virus Outbreak - Worldometer


Coronavirus Cases:

308,547        



Deaths:

13,069



Recovered:

95,829



Analysis based on individual countries

                  Countries Total Cases Todays Cases Total Deaths
1                     China      81,054          +46        3,261
2                     Italy      53,578                     4,825
3                       USA      26,892       +2,685          348
4                     Spain      25,496                     1,381
5                   Germany      22,364                        84
..                      ...         ...          ...          ...
185  St. Vincent Grenadines           1                          
186            Sint Maarten           1                          
187                 Somalia           1                          
188             Timor-Leste           1                          
189                  Uganda           1                          

[189 rows x 4 columns]
Coronavirus Update (Live): 308,547 Cases and 13,069 Deaths from COVID-19 Virus Outbreak - Worldometer


Coronavirus Cases:

308,547        



Deaths:

13,069



Recovered:

95,829



Analysis based on individual countries

                  Countries Total Cases Todays Cases Total Deaths
1                     China      81,054          +46        3,261
2                     Italy      53,578                     4,825
3                       USA      26,892       +2,685          348
4                     Spain      25,496                     1,381
5                   Germany      22,364                        84
..                      ...         ...          ...          ...
185  St. Vincent Grenadines           1                          
186            Sint Maarten           1                          
187                 Somalia           1                          
188             Timor-Leste           1                          
189                  Uganda           1                          

[189 rows x 4 columns]
Coronavirus Update (Live): 308,547 Cases and 13,069 Deaths from COVID-19 Virus Outbreak - Worldometer


Coronavirus Cases:

308,547        



Deaths:

13,069



Recovered:

95,829



Analysis based on individual countries

                  Countries Total Cases Todays Cases Total Deaths
1                     China      81,054          +46        3,261
2                     Italy      53,578                     4,825
3                       USA      26,892       +2,685          348
4                     Spain      25,496                     1,381
5                   Germany      22,364                        84
..                      ...         ...          ...          ...
185  St. Vincent Grenadines           1                          
186            Sint Maarten           1                          
187                 Somalia           1                          
188             Timor-Leste           1                          
189                  Uganda           1                          

[189 rows x 4 columns]
Coronavirus Update (Live): 308,547 Cases and 13,069 Deaths from COVID-19 Virus Outbreak - Worldometer


Coronavirus Cases:

308,547        



Deaths:

13,069



Recovered:

95,829



Analysis based on individual countries

                  Countries Total Cases Todays Cases Total Deaths
1                     China      81,054          +46        3,261
2                     Italy      53,578                     4,825
3                       USA      26,892       +2,685          348
4                     Spain      25,496                     1,381
5                   Germany      22,364                        84
..                      ...         ...          ...          ...
185  St. Vincent Grenadines           1                          
186            Sint Maarten           1                          
187                 Somalia           1                          
188             Timor-Leste           1                          
189                  Uganda           1                          

[189 rows x 4 columns]
Coronavirus Update (Live): 308,547 Cases and 13,069 Deaths from COVID-19 Virus Outbreak - Worldometer


Coronavirus Cases:

308,547        



Deaths:

13,069



Recovered:

95,829



Analysis based on individual countries

                  Countries Total Cases Todays Cases Total Deaths
1                     China      81,054          +46        3,261
2                     Italy      53,578                     4,825
3                       USA      26,892       +2,685          348
4                     Spain      25,496                     1,381
5                   Germany      22,364                        84
..                      ...         ...          ...          ...
185  St. Vincent Grenadines           1                          
186            Sint Maarten           1                          
187                 Somalia           1                          
188             Timor-Leste           1                          
189                  Uganda           1                          

[189 rows x 4 columns]
Coronavirus Update (Live): 308,547 Cases and 13,069 Deaths from COVID-19 Virus Outbreak - Worldometer


Coronavirus Cases:

308,547        



Deaths:

13,069



Recovered:

95,829



Analysis based on individual countries

                  Countries Total Cases Todays Cases Total Deaths
1                     China      81,054          +46        3,261
2                     Italy      53,578                     4,825
3                       USA      26,892       +2,685          348
4                     Spain      25,496                     1,381
5                   Germany      22,364                        84
..                      ...         ...          ...          ...
185  St. Vincent Grenadines           1                          
186            Sint Maarten           1                          
187                 Somalia           1                          
188             Timor-Leste           1                          
189                  Uganda           1                          

[189 rows x 4 columns]
Coronavirus Update (Live): 308,547 Cases and 13,069 Deaths from COVID-19 Virus Outbreak - Worldometer


Coronavirus Cases:

308,547        



Deaths:

13,069



Recovered:

95,829



Analysis based on individual countries

                  Countries Total Cases Todays Cases Total Deaths
1                     China      81,054          +46        3,261
2                     Italy      53,578                     4,825
3                       USA      26,892       +2,685          348
4                     Spain      25,496                     1,381
5                   Germany      22,364                        84
..                      ...         ...          ...          ...
185  St. Vincent Grenadines           1                          
186            Sint Maarten           1                          
187                 Somalia           1                          
188             Timor-Leste           1                          
189                  Uganda           1                          

[189 rows x 4 columns]
Coronavirus Update (Live): 308,564 Cases and 13,069 Deaths from COVID-19 Virus Outbreak - Worldometer


Coronavirus Cases:

308,564        



Deaths:

13,069



Recovered:

95,829



Analysis based on individual countries

                  Countries Total Cases Todays Cases Total Deaths
1                     China      81,054          +46        3,261
2                     Italy      53,578                     4,825
3                       USA      26,892       +2,685          348
4                     Spain      25,496                     1,381
5                   Germany      22,364                        84
..                      ...         ...          ...          ...
185  St. Vincent Grenadines           1                          
186            Sint Maarten           1                          
187                 Somalia           1                          
188             Timor-Leste           1                          
189                  Uganda           1                          

[189 rows x 4 columns]
Coronavirus Update (Live): 308,564 Cases and 13,069 Deaths from COVID-19 Virus Outbreak - Worldometer


Coronavirus Cases:

308,564        



Deaths:

13,069



Recovered:

95,829



Analysis based on individual countries

                  Countries Total Cases Todays Cases Total Deaths
1                     China      81,054          +46        3,261
2                     Italy      53,578                     4,825
3                       USA      26,892       +2,685          348
4                     Spain      25,496                     1,381
5                   Germany      22,364                        84
..                      ...         ...          ...          ...
185  St. Vincent Grenadines           1                          
186            Sint Maarten           1                          
187                 Somalia           1                          
188             Timor-Leste           1                          
189                  Uganda           1                          

[189 rows x 4 columns]
Coronavirus Update (Live): 308,564 Cases and 13,069 Deaths from COVID-19 Virus Outbreak - Worldometer


Coronavirus Cases:

308,564        



Deaths:

13,069



Recovered:

95,829



Analysis based on individual countries

                  Countries Total Cases Todays Cases Total Deaths
1                     China      81,054          +46        3,261
2                     Italy      53,578                     4,825
3                       USA      26,892       +2,685          348
4                     Spain      25,496                     1,381
5                   Germany      22,364                        84
..                      ...         ...          ...          ...
185  St. Vincent Grenadines           1                          
186            Sint Maarten           1                          
187                 Somalia           1                          
188             Timor-Leste           1                          
189                  Uganda           1                          

[189 rows x 4 columns]
Coronavirus Update (Live): 308,564 Cases and 13,069 Deaths from COVID-19 Virus Outbreak - Worldometer


Coronavirus Cases:

308,564        



Deaths:

13,069



Recovered:

95,829



Analysis based on individual countries

                  Countries Total Cases Todays Cases Total Deaths
1                     China      81,054          +46        3,261
2                     Italy      53,578                     4,825
3                       USA      26,892       +2,685          348
4                     Spain      25,496                     1,381
5                   Germany      22,364                        84
..                      ...         ...          ...          ...
185  St. Vincent Grenadines           1                          
186            Sint Maarten           1                          
187                 Somalia           1                          
188             Timor-Leste           1                          
189                  Uganda           1                          

[189 rows x 4 columns]
Coronavirus Update (Live): 308,564 Cases and 13,069 Deaths from COVID-19 Virus Outbreak - Worldometer


Coronavirus Cases:

308,564        



Deaths:

13,069



Recovered:

95,829



Analysis based on individual countries

                  Countries Total Cases Todays Cases Total Deaths
1                     China      81,054          +46        3,261
2                     Italy      53,578                     4,825
3                       USA      26,892       +2,685          348
4                     Spain      25,496                     1,381
5                   Germany      22,364                        84
..                      ...         ...          ...          ...
185  St. Vincent Grenadines           1                          
186            Sint Maarten           1                          
187                 Somalia           1                          
188             Timor-Leste           1                          
189                  Uganda           1                          

[189 rows x 4 columns]
Coronavirus Update (Live): 308,564 Cases and 13,069 Deaths from COVID-19 Virus Outbreak - Worldometer


Coronavirus Cases:

308,564        



Deaths:

13,069



Recovered:

95,829



Analysis based on individual countries

                  Countries Total Cases Todays Cases Total Deaths
1                     China      81,054          +46        3,261
2                     Italy      53,578                     4,825
3                       USA      26,892       +2,685          348
4                     Spain      25,496                     1,381
5                   Germany      22,364                        84
..                      ...         ...          ...          ...
185  St. Vincent Grenadines           1                          
186            Sint Maarten           1                          
187                 Somalia           1                          
188             Timor-Leste           1                          
189                  Uganda           1                          

[189 rows x 4 columns]
Coronavirus Update (Live): 308,564 Cases and 13,069 Deaths from COVID-19 Virus Outbreak - Worldometer


Coronavirus Cases:

308,564        



Deaths:

13,069



Recovered:

95,829



Analysis based on individual countries

                  Countries Total Cases Todays Cases Total Deaths
1                     China      81,054          +46        3,261
2                     Italy      53,578                     4,825
3                       USA      26,892       +2,685          348
4                     Spain      25,496                     1,381
5                   Germany      22,364                        84
..                      ...         ...          ...          ...
185  St. Vincent Grenadines           1                          
186            Sint Maarten           1                          
187                 Somalia           1                          
188             Timor-Leste           1                          
189                  Uganda           1                          

[189 rows x 4 columns]
Coronavirus Update (Live): 308,564 Cases and 13,069 Deaths from COVID-19 Virus Outbreak - Worldometer


Coronavirus Cases:

308,564        



Deaths:

13,069



Recovered:

95,829



Analysis based on individual countries

                  Countries Total Cases Todays Cases Total Deaths
1                     China      81,054          +46        3,261
2                     Italy      53,578                     4,825
3                       USA      26,892       +2,685          348
4                     Spain      25,496                     1,381
5                   Germany      22,364                        84
..                      ...         ...          ...          ...
185  St. Vincent Grenadines           1                          
186            Sint Maarten           1                          
187                 Somalia           1                          
188             Timor-Leste           1                          
189                  Uganda           1                          

[189 rows x 4 columns]
Coronavirus Update (Live): 308,564 Cases and 13,069 Deaths from COVID-19 Virus Outbreak - Worldometer


Coronavirus Cases:

308,564        



Deaths:

13,069



Recovered:

95,829



Analysis based on individual countries

                  Countries Total Cases Todays Cases Total Deaths
1                     China      81,054          +46        3,261
2                     Italy      53,578                     4,825
3                       USA      26,892       +2,685          348
4                     Spain      25,496                     1,381
5                   Germany      22,364                        84
..                      ...         ...          ...          ...
185  St. Vincent Grenadines           1                          
186            Sint Maarten           1                          
187                 Somalia           1                          
188             Timor-Leste           1                          
189                  Uganda           1                          

[189 rows x 4 columns]
Coronavirus Update (Live): 308,564 Cases and 13,069 Deaths from COVID-19 Virus Outbreak - Worldometer


Coronavirus Cases:

308,564        



Deaths:

13,069



Recovered:

95,829



Analysis based on individual countries

                  Countries Total Cases Todays Cases Total Deaths
1                     China      81,054          +46        3,261
2                     Italy      53,578                     4,825
3                       USA      26,892       +2,685          348
4                     Spain      25,496                     1,381
5                   Germany      22,364                        84
..                      ...         ...          ...          ...
185  St. Vincent Grenadines           1                          
186            Sint Maarten           1                          
187                 Somalia           1                          
188             Timor-Leste           1                          
189                  Uganda           1                          

[189 rows x 4 columns]
Coronavirus Update (Live): 308,564 Cases and 13,069 Deaths from COVID-19 Virus Outbreak - Worldometer


Coronavirus Cases:

308,564        



Deaths:

13,069



Recovered:

95,829



Analysis based on individual countries

                  Countries Total Cases Todays Cases Total Deaths
1                     China      81,054          +46        3,261
2                     Italy      53,578                     4,825
3                       USA      26,892       +2,685          348
4                     Spain      25,496                     1,381
5                   Germany      22,364                        84
..                      ...         ...          ...          ...
185  St. Vincent Grenadines           1                          
186            Sint Maarten           1                          
187                 Somalia           1                          
188             Timor-Leste           1                          
189                  Uganda           1                          

[189 rows x 4 columns]
Coronavirus Update (Live): 308,564 Cases and 13,069 Deaths from COVID-19 Virus Outbreak - Worldometer


Coronavirus Cases:

308,564        



Deaths:

13,069



Recovered:

95,829



Analysis based on individual countries

                  Countries Total Cases Todays Cases Total Deaths
1                     China      81,054          +46        3,261
2                     Italy      53,578                     4,825
3                       USA      26,892       +2,685          348
4                     Spain      25,496                     1,381
5                   Germany      22,364                        84
..                      ...         ...          ...          ...
185  St. Vincent Grenadines           1                          
186            Sint Maarten           1                          
187                 Somalia           1                          
188             Timor-Leste           1                          
189                  Uganda           1                          

[189 rows x 4 columns]
Coronavirus Update (Live): 308,564 Cases and 13,069 Deaths from COVID-19 Virus Outbreak - Worldometer


Coronavirus Cases:

308,564        



Deaths:

13,069



Recovered:

95,829



Analysis based on individual countries

                  Countries Total Cases Todays Cases Total Deaths
1                     China      81,054          +46        3,261
2                     Italy      53,578                     4,825
3                       USA      26,892       +2,685          348
4                     Spain      25,496                     1,381
5                   Germany      22,364                        84
..                      ...         ...          ...          ...
185  St. Vincent Grenadines           1                          
186            Sint Maarten           1                          
187                 Somalia           1                          
188             Timor-Leste           1                          
189                  Uganda           1                          

[189 rows x 4 columns]
Coronavirus Update (Live): 308,564 Cases and 13,069 Deaths from COVID-19 Virus Outbreak - Worldometer


Coronavirus Cases:

308,564        



Deaths:

13,069



Recovered:

95,829



Analysis based on individual countries

                  Countries Total Cases Todays Cases Total Deaths
1                     China      81,054          +46        3,261
2                     Italy      53,578                     4,825
3                       USA      26,892       +2,685          348
4                     Spain      25,496                     1,381
5                   Germany      22,364                        84
..                      ...         ...          ...          ...
185  St. Vincent Grenadines           1                          
186            Sint Maarten           1                          
187                 Somalia           1                          
188             Timor-Leste           1                          
189                  Uganda           1                          

[189 rows x 4 columns]
Coronavirus Update (Live): 308,564 Cases and 13,069 Deaths from COVID-19 Virus Outbreak - Worldometer


Coronavirus Cases:

308,564        



Deaths:

13,069



Recovered:

95,829



Analysis based on individual countries

                  Countries Total Cases Todays Cases Total Deaths
1                     China      81,054          +46        3,261
2                     Italy      53,578                     4,825
3                       USA      26,892       +2,685          348
4                     Spain      25,496                     1,381
5                   Germany      22,364                        84
..                      ...         ...          ...          ...
185  St. Vincent Grenadines           1                          
186            Sint Maarten           1                          
187                 Somalia           1                          
188             Timor-Leste           1                          
189                  Uganda           1                          

[189 rows x 4 columns]
Coronavirus Update (Live): 308,564 Cases and 13,069 Deaths from COVID-19 Virus Outbreak - Worldometer


Coronavirus Cases:

308,564        



Deaths:

13,069



Recovered:

95,829



Analysis based on individual countries

                  Countries Total Cases Todays Cases Total Deaths
1                     China      81,054          +46        3,261
2                     Italy      53,578                     4,825
3                       USA      26,892       +2,685          348
4                     Spain      25,496                     1,381
5                   Germany      22,364                        84
..                      ...         ...          ...          ...
185  St. Vincent Grenadines           1                          
186            Sint Maarten           1                          
187                 Somalia           1                          
188             Timor-Leste           1                          
189                  Uganda           1                          

[189 rows x 4 columns]
Coronavirus Update (Live): 308,564 Cases and 13,069 Deaths from COVID-19 Virus Outbreak - Worldometer


Coronavirus Cases:

308,564        



Deaths:

13,069



Recovered:

95,829



Analysis based on individual countries

                  Countries Total Cases Todays Cases Total Deaths
1                     China      81,054          +46        3,261
2                     Italy      53,578                     4,825
3                       USA      26,892       +2,685          348
4                     Spain      25,496                     1,381
5                   Germany      22,364                        84
..                      ...         ...          ...          ...
185  St. Vincent Grenadines           1                          
186            Sint Maarten           1                          
187                 Somalia           1                          
188             Timor-Leste           1                          
189                  Uganda           1                          

[189 rows x 4 columns]
Coronavirus Update (Live): 308,564 Cases and 13,069 Deaths from COVID-19 Virus Outbreak - Worldometer


Coronavirus Cases:

308,564        



Deaths:

13,069



Recovered:

95,829



Analysis based on individual countries

                  Countries Total Cases Todays Cases Total Deaths
1                     China      81,054          +46        3,261
2                     Italy      53,578                     4,825
3                       USA      26,892       +2,685          348
4                     Spain      25,496                     1,381
5                   Germany      22,364                        84
..                      ...         ...          ...          ...
185  St. Vincent Grenadines           1                          
186            Sint Maarten           1                          
187                 Somalia           1                          
188             Timor-Leste           1                          
189                  Uganda           1                          

[189 rows x 4 columns]
Coronavirus Update (Live): 308,564 Cases and 13,069 Deaths from COVID-19 Virus Outbreak - Worldometer


Coronavirus Cases:

308,564        



Deaths:

13,069



Recovered:

95,829



Analysis based on individual countries

                  Countries Total Cases Todays Cases Total Deaths
1                     China      81,054          +46        3,261
2                     Italy      53,578                     4,825
3                       USA      26,892       +2,685          348
4                     Spain      25,496                     1,381
5                   Germany      22,364                        84
..                      ...         ...          ...          ...
185  St. Vincent Grenadines           1                          
186            Sint Maarten           1                          
187                 Somalia           1                          
188             Timor-Leste           1                          
189                  Uganda           1                          

[189 rows x 4 columns]
Coronavirus Update (Live): 308,564 Cases and 13,069 Deaths from COVID-19 Virus Outbreak - Worldometer


Coronavirus Cases:

308,564        



Deaths:

13,069



Recovered:

95,829



Analysis based on individual countries

                  Countries Total Cases Todays Cases Total Deaths
1                     China      81,054          +46        3,261
2                     Italy      53,578                     4,825
3                       USA      26,892       +2,685          348
4                     Spain      25,496                     1,381
5                   Germany      22,364                        84
..                      ...         ...          ...          ...
185  St. Vincent Grenadines           1                          
186            Sint Maarten           1                          
187                 Somalia           1                          
188             Timor-Leste           1                          
189                  Uganda           1                          

[189 rows x 4 columns]
Coronavirus Update (Live): 308,564 Cases and 13,069 Deaths from COVID-19 Virus Outbreak - Worldometer


Coronavirus Cases:

308,564        



Deaths:

13,069



Recovered:

95,829



Analysis based on individual countries

                  Countries Total Cases Todays Cases Total Deaths
1                     China      81,054          +46        3,261
2                     Italy      53,578                     4,825
3                       USA      26,892       +2,685          348
4                     Spain      25,496                     1,381
5                   Germany      22,364                        84
..                      ...         ...          ...          ...
185  St. Vincent Grenadines           1                          
186            Sint Maarten           1                          
187                 Somalia           1                          
188             Timor-Leste           1                          
189                  Uganda           1                          

[189 rows x 4 columns]
Coronavirus Update (Live): 308,564 Cases and 13,069 Deaths from COVID-19 Virus Outbreak - Worldometer


Coronavirus Cases:

308,564        



Deaths:

13,069



Recovered:

95,829



Analysis based on individual countries

                  Countries Total Cases Todays Cases Total Deaths
1                     China      81,054          +46        3,261
2                     Italy      53,578                     4,825
3                       USA      26,892       +2,685          348
4                     Spain      25,496                     1,381
5                   Germany      22,364                        84
..                      ...         ...          ...          ...
185  St. Vincent Grenadines           1                          
186            Sint Maarten           1                          
187                 Somalia           1                          
188             Timor-Leste           1                          
189                  Uganda           1                          

[189 rows x 4 columns]
Coronavirus Update (Live): 308,592 Cases and 13,069 Deaths from COVID-19 Virus Outbreak - Worldometer


Coronavirus Cases:

308,592        



Deaths:

13,069



Recovered:

95,829



Analysis based on individual countries

                  Countries Total Cases Todays Cases Total Deaths
1                     China      81,054          +46        3,261
2                     Italy      53,578                     4,825
3                       USA      26,892       +2,685          348
4                     Spain      25,496                     1,381
5                   Germany      22,364                        84
..                      ...         ...          ...          ...
185  St. Vincent Grenadines           1                          
186            Sint Maarten           1                          
187                 Somalia           1                          
188             Timor-Leste           1                          
189                  Uganda           1                          

[189 rows x 4 columns]
Coronavirus Update (Live): 308,592 Cases and 13,069 Deaths from COVID-19 Virus Outbreak - Worldometer


Coronavirus Cases:

308,592        



Deaths:

13,069



Recovered:

95,829



Analysis based on individual countries

                  Countries Total Cases Todays Cases Total Deaths
1                     China      81,054          +46        3,261
2                     Italy      53,578                     4,825
3                       USA      26,892       +2,685          348
4                     Spain      25,496                     1,381
5                   Germany      22,364                        84
..                      ...         ...          ...          ...
185  St. Vincent Grenadines           1                          
186            Sint Maarten           1                          
187                 Somalia           1                          
188             Timor-Leste           1                          
189                  Uganda           1                          

[189 rows x 4 columns]
Coronavirus Update (Live): 308,592 Cases and 13,069 Deaths from COVID-19 Virus Outbreak - Worldometer


Coronavirus Cases:

308,592        



Deaths:

13,069



Recovered:

95,829



Analysis based on individual countries

                  Countries Total Cases Todays Cases Total Deaths
1                     China      81,054          +46        3,261
2                     Italy      53,578                     4,825
3                       USA      26,892       +2,685          348
4                     Spain      25,496                     1,381
5                   Germany      22,364                        84
..                      ...         ...          ...          ...
185  St. Vincent Grenadines           1                          
186            Sint Maarten           1                          
187                 Somalia           1                          
188             Timor-Leste           1                          
189                  Uganda           1                          

[189 rows x 4 columns]
Coronavirus Update (Live): 308,592 Cases and 13,069 Deaths from COVID-19 Virus Outbreak - Worldometer


Coronavirus Cases:

308,592        



Deaths:

13,069



Recovered:

95,829



Analysis based on individual countries

                  Countries Total Cases Todays Cases Total Deaths
1                     China      81,054          +46        3,261
2                     Italy      53,578                     4,825
3                       USA      26,892       +2,685          348
4                     Spain      25,496                     1,381
5                   Germany      22,364                        84
..                      ...         ...          ...          ...
185  St. Vincent Grenadines           1                          
186            Sint Maarten           1                          
187                 Somalia           1                          
188             Timor-Leste           1                          
189                  Uganda           1                          

[189 rows x 4 columns]
Coronavirus Update (Live): 308,592 Cases and 13,069 Deaths from COVID-19 Virus Outbreak - Worldometer


Coronavirus Cases:

308,592        



Deaths:

13,069



Recovered:

95,829



Analysis based on individual countries

                  Countries Total Cases Todays Cases Total Deaths
1                     China      81,054          +46        3,261
2                     Italy      53,578                     4,825
